GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_2213: Median after-tax income in 2015 among recipients ($)
3518001,CSD,Pickering (CY),233.47884,91771,31630,30919,34500
3518005,CSD,Ajax (T),67.65659,119677,38105,37549,32770
3518009,CSD,Whitby (T),147.99499,128377,44195,43529,37443
3518013,CSD,Oshawa (CY),146.89377,159458,64883,62595,30538
3518017,CSD,Clarington (MU),613.17305,92013,33384,32838,37031
3518020,CSD,Scugog (TP),516.16928,21617,8697,8218,35057
3518029,CSD,Uxbridge (TP),423.88393,21176,7946,7663,35272
3518039,CSD,Brock (TP),469.9162,11642,5035,4543,30917
3519028,CSD,Vaughan (CY),275.04996,306233,96657,94253,32383
3519036,CSD,Markham (CY),213.23371,328966,106131,102676,26319
3519038,CSD,Richmond Hill (T),102.41745,195022,66465,64116,27882
3519044,CSD,Whitchurch-Stouffville (T),209.16236,45837,15712,15355,36612
3519046,CSD,Aurora (T),50.19574,55445,19381,18851,36082
3519048,CSD,Newmarket (T),38.57759,84224,29315,28673,32728
3519049,CSD,King (TP),336.17967,24512,8736,8144,37982
3519054,CSD,East Gwillimbury (T),247.26108,23991,8279,8077,36178
3519070,CSD,Georgina (T),609.70293,45418,18687,16821,31708
3519076,CSD,Chippewas of Georgina Island First Nation (IRI),15.77302,261,565,118,25728
3520005,CSD,Toronto (C),634.43388,2731571,1179057,1112929,27958
3521005,CSD,Mississauga (CY),292.93224,721599,248469,240913,28899
3521010,CSD,Brampton (CY),267.90857,593638,173428,168011,27086
3521024,CSD,Caledon (T),695.55018,66502,22021,21256,36733
3522012,CSD,Mono (T),280.58695,8609,3127,2919,37329
3522014,CSD,Orangeville (T),15.89666,28900,10696,10565,33976
3522016,CSD,Mulmur (TP),287.88508,3478,1674,1315,36083
3523017,CSD,Erin (T),299.74948,11439,4258,4108,36467
3524001,CSD,Oakville (T),139.64673,193832,68617,66269,37450
3524002,CSD,Burlington (CY),187.63194,183314,72535,71373,37699
3524009,CSD,Milton (T),365.03646,110128,35537,34257,37943
3524015,CSD,Halton Hills (T),277.76811,61161,21475,21078,38441
3543003,CSD,Adjala-Tosorontio (TP),373.52178,10975,3974,3834,34745
3543007,CSD,New Tecumseth (T),274.78374,34242,13191,12906,34289
3543014,CSD,Bradford West Gwillimbury (T),202.81546,35325,11918,11591,32915
3543017,CSD,Innisfil (T),317.928,36566,14875,13364,31719
3543021,CSD,Essa (TP),281.60189,21083,7478,7179,34954
3543042,CSD,Barrie (CY),106.79153,141434,54227,52476,30644
